NAME,MpG,PpG,RpG,ApG,P+R+A,PRA_Rank,TS%,USG%,VI,ORtg,DRtg
Nikola Jokic,34.6,28.6,12.5,10.4,51.6,1,0.679,31.3,17.9,135.4,107.3
Luka Doncic,35.5,32.5,7.9,8.4,48.8,2,0.613,37.5,14.6,119.9,110.0
Shai Gilgeous-Alexander,33.5,31.7,4.5,6.6,42.8,3,0.667,33.4,11.7,134.1,106.1
Giannis Antetokounmpo,29.0,27.4,9.8,5.4,42.6,4,0.666,36.3,15.6,126.4,109.4
Jalen Johnson,35.2,23.0,10.4,7.9,41.3,5,0.585,27.2,14.0,116.5,109.1
Cade Cunningham,35.0,25.1,5.6,9.9,40.7,6,0.564,30.8,12.8,117.5,105.0
Jaylen Brown,34.0,28.3,7.1,5.1,40.6,7,0.571,36.2,11.9,113.8,106.9
Tyrese Maxey,38.3,29.0,4.1,6.7,39.7,8,0.589,29.9,9.7,121.1,114.1
Donovan Mitchell,33.5,28.3,4.5,5.8,38.6,9,0.612,32.7,10.8,120.1,111.3
James Harden,35.4,25.4,4.8,8.1,38.4,10,0.598,31.2,11.3,119.3,114.5
Kawhi Leonard,32.4,28.3,6.4,3.8,38.4,10,0.63,33.5,10.9,125.1,113.2
Anthony Edwards,35.5,29.4,5.0,3.7,38.2,12,0.621,31.6,9.2,118.7,112.7
Victor Wembanyama,29.3,24.2,11.1,2.9,38.2,12,0.625,31.6,12.6,120.4,100.0
Joel Embiid,31.2,26.6,7.5,3.9,38.1,14,0.606,33.8,11.8,119.4,112.0
Deni Avdija,33.3,24.3,7.0,6.7,37.9,15,0.601,29.1,12.5,119.1,111.1
Jamal Murray,34.9,25.5,4.3,7.1,37.0,16,0.616,28.7,10.5,124.4,116.3
Jalen Brunson,34.8,26.2,3.5,6.5,36.2,17,0.582,30.3,9.7,121.7,112.1
Paolo Banchero,34.8,22.3,8.6,5.0,35.8,18,0.568,27.5,11.3,112.4,110.2
Kevin Durant,36.4,25.9,5.5,4.5,35.8,18,0.635,27.1,9.5,123.4,112.2
Lauri Markkanen,34.3,26.7,6.9,2.1,35.7,20,0.608,28.3,8.5,122.9,120.4
Stephen Curry,31.3,27.2,3.5,4.8,35.6,21,0.636,32.7,9.8,119.7,113.5
Alperen Sengun,33.4,20.2,9.0,6.1,35.2,22,0.554,27.1,12.4,115.3,105.3
Devin Booker,33.4,24.9,4.0,6.1,35.0,23,0.578,31.5,10.1,117.4,112.0
Karl-Anthony Towns,31.2,20.0,11.9,2.9,34.8,24,0.614,25.5,11.3,122.7,100.1
Josh Giddey,31.6,17.7,8.4,8.7,34.8,24,0.571,25.6,13.8,113.4,113.3
Pascal Siakam,33.5,24.0,6.7,3.9,34.5,26,0.563,29.6,10.2,111.4,113.9
Michael Porter Jr.,32.5,24.2,7.1,3.0,34.3,27,0.595,30.4,9.9,114.3,114.3
Anthony Davis,31.3,20.4,11.1,2.8,34.2,28,0.551,27.6,11.0,111.6,107.8
LeBron James,33.1,21.4,5.6,7.0,34.1,29,0.587,28.1,11.4,116.0,114.8
Austin Reaves,33.6,23.7,4.8,5.5,33.9,30,0.651,27.5,10.2,123.9,113.1
Keyonte George,33.1,23.6,3.7,6.1,33.4,31,0.609,28.1,9.8,118.2,120.0
Julius Randle,33.1,21.1,7.0,5.2,33.2,32,0.587,26.3,11.1,119.1,108.4
James Harden,33.4,20.2,5.0,7.8,33.0,33,0.654,23.4,11.1,125.6,113.6
